"datenumber"	"yyyymmdd"
1487	20080508
1488	20080509
1489	20080512
1490	20080513
1491	20080514
1492	20080515
1493	20080516
1494	20080519
1495	20080520
1496	20080521
1497	20080522
1498	20080523
1499	20080527
1500	20080528
1501	20080529
1502	20080530
1503	20080602
1504	20080603
1505	20080604
1506	20080605
1507	20080606
1508	20080609
1509	20080610
1510	20080611
1511	20080612
1512	20080613
1513	20080616
1514	20080617
1515	20080618
1516	20080619
1517	20080620
1518	20080623
1519	20080624
1520	20080625
1521	20080626
1522	20080627
1523	20080630
1524	20080701
1525	20080702
1526	20080703
1527	20080707
1528	20080708
1529	20080709
1530	20080710
1531	20080711
1532	20080714
1533	20080715
1534	20080716
1535	20080717
1536	20080718
1537	20080721
1538	20080722
1539	20080723
1540	20080724
1541	20080725
1542	20080728
1543	20080729
1544	20080730
1545	20080731
1546	20080801
1547	20080804
1548	20080805
1549	20080806
1550	20080807
1551	20080808
1552	20080811
1553	20080812
1554	20080813
1555	20080814
1556	20080815
1557	20080818
1558	20080819
1559	20080820
1560	20080821
1561	20080822
1562	20080825
1563	20080826
1564	20080827
1565	20080828
1566	20080829
1567	20080902
1568	20080903
1569	20080904
1570	20080905
1571	20080908
1572	20080909
1573	20080910
1574	20080911
1575	20080912
1576	20080915
1577	20080916
1578	20080917
1579	20080918
1580	20080919
1581	20080922
1582	20080923
1583	20080924
1584	20080925
1585	20080926
1586	20080929
1587	20080930
1588	20081001
1589	20081002
1590	20081003
1591	20081006
1592	20081007
1593	20081008
1594	20081009
1595	20081010
1596	20081014
1597	20081015
1598	20081016
1599	20081017
1600	20081020
1601	20081021
1602	20081022
1603	20081023
1604	20081024
1605	20081027
1606	20081028
1607	20081029
1608	20081030
1609	20081031
1610	20081103
1611	20081104
1612	20081105
1613	20081106
1614	20081107
1615	20081110
1616	20081112
1617	20081113
1618	20081114
1619	20081117
1620	20081118
1621	20081119
1622	20081120
1623	20081121
1624	20081124
1625	20081125
1626	20081126
1627	20081128
1628	20081201
1629	20081202
1630	20081203
1631	20081204
1632	20081205
1633	20081208
1634	20081209
1635	20081210
1636	20081211
1637	20081212
1638	20081215
1639	20081216
1640	20081217
1641	20081218
1642	20081219
1643	20081222
1644	20081223
1645	20081224
1646	20081226
1647	20081229
1648	20081230
1649	20081231
1650	20090102
1651	20090105
1652	20090106
1653	20090107
1654	20090108
1655	20090109
1656	20090112
1657	20090113
1658	20090114
1659	20090115
1660	20090116
1661	20090120
1662	20090121
1663	20090122
1664	20090123
1665	20090126
1666	20090127
1667	20090128
1668	20090129
1669	20090130
1670	20090202
1671	20090203
1672	20090204
1673	20090205
1674	20090206
1675	20090209
1676	20090210
1677	20090211
1678	20090212
1679	20090213
1680	20090217
1681	20090218
1682	20090219
1683	20090220
1684	20090223
1685	20090224
1686	20090225
1687	20090226
1688	20090227
1689	20090302
1690	20090303
1691	20090304
1692	20090305
1693	20090306
1694	20090309
1695	20090310
1696	20090311
1697	20090312
1698	20090313
1699	20090316
1700	20090317
1701	20090318
1702	20090319
1703	20090320
1704	20090323
1705	20090324
1706	20090325
1707	20090326
1708	20090327
1709	20090330
1710	20090331
1711	20090401
1712	20090402
1713	20090403
1714	20090406
1715	20090407
1716	20090408
1717	20090409
1718	20090413
1719	20090414
1720	20090415
1721	20090416
1722	20090417
1723	20090420
1724	20090421
1725	20090422
1726	20090423
1727	20090424
1728	20090427
1729	20090428
1730	20090429
1731	20090430
1732	20090501
1733	20090504
1734	20090505
1735	20090506
1736	20090507
1737	20090508
1738	20090511
1739	20090512
1740	20090513
1741	20090514
1742	20090515
1743	20090518
1744	20090519
1745	20090520
1746	20090521
1747	20090522
1748	20090526
1749	20090527
1750	20090528
1751	20090529
1752	20090601
1753	20090602
1754	20090603
1755	20090604
1756	20090605
1757	20090608
1758	20090609
1759	20090610
1760	20090611
1761	20090612
1762	20090615
1763	20090616
1764	20090617
1765	20090618
1766	20090619
1767	20090622
1768	20090623
1769	20090624
1770	20090625
1771	20090626
1772	20090629
1773	20090630
1774	20090701
1775	20090702
1776	20090706
1777	20090707
1778	20090708
1779	20090709
1780	20090710
1781	20090713
1782	20090714
1783	20090715
1784	20090716
1785	20090717
1786	20090720
1787	20090721
1788	20090722
1789	20090723
1790	20090724
1791	20090727
1792	20090728
1793	20090729
1794	20090730
1795	20090731
1796	20090803
1797	20090804
1798	20090805
1799	20090806
1800	20090807
1801	20090810
1802	20090811
1803	20090812
1804	20090813
1805	20090814
1806	20090817
1807	20090818
1808	20090819
1809	20090820
1810	20090821
1811	20090824
1812	20090825
1813	20090826
1814	20090827
1815	20090828
1816	20090831
1817	20090901
1818	20090902
1819	20090903
1820	20090904
1821	20090908
1822	20090909
1823	20090910
1824	20090911
1825	20090914
1826	20090915
1827	20090916
1828	20090917
1829	20090918
1830	20090921
1831	20090922
1832	20090923
1833	20090924
1834	20090925
1835	20090928
1836	20090929
1837	20090930
1838	20091001
1839	20091002
1840	20091005
1841	20091006
1842	20091007
1843	20091008
1844	20091009
1845	20091013
1846	20091014
1847	20091015
1848	20091016
1849	20091019
1850	20091020
1851	20091021
1852	20091022
1853	20091023
1854	20091026
1855	20091027
1856	20091028
1857	20091029
1858	20091030
1859	20091102
1860	20091103
1861	20091104
1862	20091105
1863	20091106
1864	20091109
1865	20091110
1866	20091112
1867	20091113
1868	20091116
1869	20091117
1870	20091118
1871	20091119
1872	20091120
1873	20091123
1874	20091124
1875	20091125
1876	20091127
1877	20091130
1878	20091201
1879	20091202
1880	20091203
1881	20091204
1882	20091207
1883	20091208
1884	20091209
1885	20091210
1886	20091211
1887	20091214
1888	20091215
1889	20091216
1890	20091217
1891	20091218
1892	20091221
1893	20091222
1894	20091223
1895	20091224
1896	20091228
1897	20091229
1898	20091230
1899	20091231
1900	20100104
1901	20100105
1902	20100106
1903	20100107
1904	20100108
1905	20100111
1906	20100112
1907	20100113
1908	20100114
1909	20100115
1910	20100119
1911	20100120
1912	20100121
1913	20100122
1914	20100125
1915	20100126
1916	20100127
1917	20100128
1918	20100129
1919	20100201
1920	20100202
1921	20100203
1922	20100204
1923	20100205
1924	20100208
1925	20100209
1926	20100210
1927	20100211
1928	20100212
1929	20100216
1930	20100217
1931	20100218
1932	20100219
1933	20100222
1934	20100223
1935	20100224
1936	20100225
1937	20100226
1938	20100301
1939	20100302
1940	20100303
1941	20100304
1942	20100305
1943	20100308
1944	20100309
1945	20100310
1946	20100311
1947	20100312
1948	20100315
1949	20100316
1950	20100317
1951	20100318
1952	20100319
1953	20100322
1954	20100323
1955	20100324
1956	20100325
1957	20100326
1958	20100329
1959	20100330
1960	20100331
1961	20100401
1962	20100402
1963	20100405
1964	20100406
1965	20100407
1966	20100408
1967	20100409
1968	20100412
1969	20100413
1970	20100414
1971	20100415
1972	20100416
1973	20100419
1974	20100420
1975	20100421
1976	20100422
1977	20100423
1978	20100426
1979	20100427
1980	20100428
1981	20100429
1982	20100430
1983	20100503
1984	20100504
1985	20100505
1986	20100506
1987	20100507
1988	20100510
1989	20100511
1990	20100512
1991	20100513
1992	20100514
1993	20100517
1994	20100518
1995	20100519
1996	20100520
1997	20100521
1998	20100524
1999	20100525
2000	20100526
2001	20100527
2002	20100528
2003	20100601
2004	20100602
2005	20100603
2006	20100604
2007	20100607
2008	20100608
2009	20100609
2010	20100610
2011	20100611
2012	20100614
2013	20100615
2014	20100616
2015	20100617
2016	20100618
2017	20100621
2018	20100622
2019	20100623
2020	20100624
2021	20100625
2022	20100628
2023	20100629
2024	20100630
2025	20100701
2026	20100702
2027	20100706
2028	20100707
2029	20100708
2030	20100709
2031	20100712
2032	20100713
2033	20100714
2034	20100715
2035	20100716
2036	20100719
2037	20100720
2038	20100721
2039	20100722
2040	20100723
2041	20100726
2042	20100727
2043	20100728
2044	20100729
2045	20100730
2046	20100802
2047	20100803
2048	20100804
2049	20100805
2050	20100806
2051	20100809
2052	20100810
2053	20100811
2054	20100812
2055	20100813
2056	20100816
2057	20100817
2058	20100818
2059	20100819
2060	20100820
2061	20100823
2062	20100824
2063	20100825
2064	20100826
2065	20100827
2066	20100830
2067	20100831
2068	20100901
2069	20100902
2070	20100903
2071	20100907
2072	20100908
2073	20100909
2074	20100910
2075	20100913
2076	20100914
2077	20100915
2078	20100916
2079	20100917
2080	20100920
2081	20100921
2082	20100922
2083	20100923
2084	20100924
2085	20100927
2086	20100928
2087	20100929
2088	20100930
2089	20101001
2090	20101004
2091	20101005
2092	20101006
2093	20101007
2094	20101008
2095	20101012
2096	20101013
2097	20101014
2098	20101015
2099	20101018
2100	20101019
2101	20101020
2102	20101021
2103	20101022
2104	20101025
2105	20101026
2106	20101027
2107	20101028
2108	20101029
2109	20101101
2110	20101102
2111	20101103
2112	20101104
2113	20101105
2114	20101108
2115	20101109
2116	20101110
2117	20101112
2118	20101115
2119	20101116
2120	20101117
2121	20101118
2122	20101119
2123	20101122
2124	20101123
2125	20101124
2126	20101126
2127	20101129
2128	20101130
2129	20101201
2130	20101202
