"","dt","SIC_CODE","investment_Barc","percent_investment_Barc","investment_BofA","percent_investment_BofA","junk_Barc","percent_junk_Barc","junk_BofA","percent_junk_BofA","distressed_Barc","percent_distressed_Barc","distressed_BofA","percent_distressed_BofA"
"250",2005-01-31,2273,125000,0.121359223300971,125000,0.121359223300971,0,0,0,0,0,0,0,0
"251",2005-01-31,2890,110000,0.106796116504854,110000,0.106796116504854,0,0,0,0,0,0,0,0
"252",2005-01-31,3571,5e+05,0.485436893203884,5e+05,0.485436893203884,0,0,0,0,0,0,0,0
"253",2005-01-31,4222,120000,0.116504854368932,120000,0.116504854368932,0,0,0,0,0,0,0,0
"254",2005-01-31,4932,0,0,0,0,0,0,0,0,1695000,1,1647000,1
"255",2005-01-31,6020,0,0,0,0,6e+05,0.975609756097561,6e+05,0.975609756097561,0,0,0,0
"256",2005-01-31,6712,0,0,0,0,15000,0.024390243902439,15000,0.024390243902439,0,0,0,0
"257",2005-01-31,8069,175000,0.169902912621359,175000,0.169902912621359,0,0,0,0,0,0,0,0
"258",2005-02-28,2299,0,0,0,0,0,0,0,0,0,0,0,0
"259",2005-02-28,2895,0,0,0,0,0,0,0,0,175000,1,175000,1
